team,season,week,week_label,elo,previous_elo,elo_change,rank,previous_rank,rank_change,conference,classification,logo_url,color,current_week
Fresno State,2026,2,Week 2,1504.151209411583,1533.2303223696422,-29.079112958059113,72,62,-10,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/278.png,#c41230,2
Washington State,2026,2,Week 2,1503.5186422185911,1528.3427839029807,-24.824141684389588,73,63,-10,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/265.png,#a60f2d,2
Auburn,2026,2,Week 2,1499.484299630115,1484.675196821289,14.809102808825855,74,82,8,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/2.png,#0c2340,2
UCLA,2026,2,Week 2,1498.4914925930905,1441.0299918164378,57.461500776652656,75,103,28,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/26.png,#2774ae,2
Kentucky,2026,2,Week 2,1495.942347413441,1483.2431416695604,12.699205743880611,76,83,7,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/96.png,#0033a0,2
Kansas,2026,2,Week 2,1491.324831437856,1477.6789091929445,13.64592224491139,77,86,9,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2305.png,#0051ba,2
Delaware,2026,2,Week 2,1489.5434894024193,1477.167086719328,12.376402683091328,78,87,9,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/48.png,#00539f,2
West Virginia,2026,2,Week 2,1484.7981788276638,1460.572543971418,24.225634856245733,79,94,15,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/277.png,#eaaa00,2
Florida International,2026,2,Week 2,1482.326850841506,1501.9097653012398,-19.58291445973373,80,72,-8,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/2229.png,#091f3f,2
Mississippi State,2026,2,Week 2,1476.8443120898185,1446.093334628961,30.750977460857484,81,100,19,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/344.png,#5d1725,2
Michigan State,2026,2,Week 2,1474.5641971221996,1433.6794896490076,40.884707473192066,82,108,26,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/127.png,#173f35,2
Miami (OH),2026,2,Week 2,1474.4533089192437,1511.1033514255398,-36.65004250629613,83,68,-15,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/193.png,#c41230,2
Nevada,2026,2,Week 2,1474.1908156654058,1417.143922766972,57.046892898433725,84,117,33,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2440.png,#041e42,2
North Carolina,2026,2,Week 2,1472.8270752994415,1437.6985351094552,35.128540189986325,85,105,20,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/153.png,#7bafd4,2
UCF,2026,2,Week 2,1471.3066397908835,1457.69811320424,13.60852658664362,86,95,9,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2116.png,#000000,2
Air Force,2026,2,Week 2,1470.3505244212342,1456.9703125768654,13.380211844368887,87,96,9,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2005.png,#003594,2
Florida State,2026,2,Week 2,1469.6144787585583,1461.050149762522,8.564328996036238,88,93,5,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/52.png,#782f40,2
Marshall,2026,2,Week 2,1467.5779881294177,1497.3491794614752,-29.77119133205747,89,73,-16,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/276.png,#00b140,2
Sacramento State,2026,2,Week 2,1467.08209342369,1486.5857028698963,-19.503609446206383,90,80,-10,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/16.png,#00573c,2
Baylor,2026,2,Week 2,1465.4442234492535,1480.2533262580794,-14.809102808825855,91,85,-6,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/239.png,#154734,2
South Alabama,2026,2,Week 2,1464.4979621354546,1450.5733771209768,13.92458501447777,92,98,6,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/6.png,#00205b,2
Utah State,2026,2,Week 2,1462.0753117543954,1485.2048776989277,-23.12956594453226,93,81,-12,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/328.png,#0f2439,2
